timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1602183436559,4043,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1,text,false,"A operação tomou muito tempo: levou 4.043 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,20,20,0,0,4043
1602183436564,4037,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2,text,false,"A operação tomou muito tempo: levou 4.037 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,20,20,0,0,4036
1602183436615,4007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-3,text,false,"A operação tomou muito tempo: levou 4.007 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,18,18,0,0,4007
1602183436665,4006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-4,text,false,"A operação tomou muito tempo: levou 4.006 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,17,17,0,0,4006
1602183436714,4007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-5,text,false,"A operação tomou muito tempo: levou 4.007 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,16,16,0,0,4007
1602183436775,4003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-6,text,false,"A operação tomou muito tempo: levou 4.003 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,15,15,0,0,4003
1602183436815,4002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-7,text,false,"A operação tomou muito tempo: levou 4.002 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,14,14,0,0,4002
1602183436864,4007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-8,text,false,"A operação tomou muito tempo: levou 4.007 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,13,13,0,0,4007
1602183436916,4006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-9,text,false,"A operação tomou muito tempo: levou 4.006 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,12,12,0,0,4006
1602183436967,4008,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-10,text,false,"A operação tomou muito tempo: levou 4.008 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,11,11,0,0,4008
1602183437018,4010,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-11,text,false,"A operação tomou muito tempo: levou 4.010 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,10,10,0,0,4010
1602183437068,4005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-12,text,false,"A operação tomou muito tempo: levou 4.005 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,9,9,0,0,4005
1602183437118,4006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-13,text,false,"A operação tomou muito tempo: levou 4.006 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,8,8,0,0,4006
1602183437169,4004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-14,text,false,"A operação tomou muito tempo: levou 4.004 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,7,7,0,0,4004
1602183437220,4003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-15,text,false,"A operação tomou muito tempo: levou 4.003 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,6,6,0,0,4003
1602183437270,4008,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-16,text,false,"A operação tomou muito tempo: levou 4.008 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,5,5,0,0,4008
1602183437321,4006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-17,text,false,"A operação tomou muito tempo: levou 4.006 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,4,4,0,0,4006
1602183437372,4005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-18,text,false,"A operação tomou muito tempo: levou 4.005 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,3,3,0,0,4005
1602183437421,4004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-19,text,false,"A operação tomou muito tempo: levou 4.004 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,2,2,0,0,4004
1602183437472,4005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-20,text,false,"A operação tomou muito tempo: levou 4.005 milisegundos, mas não deveria ter levado mais do que 10 milisegundos",2215,0,1,1,0,0,4005
